Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x2e3afc32db25128533335de123616466a433433852251b1b4e93cb7ec1a46d49","Success","Transfer","19849291","2024-05-11 20:51:11","0xd175429b35d6abceac93cc2fe41230aa6be0db54","","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0.0001 ETH","$0.23","0.000063"
"0xa40fb38649b2df7d8838822737578cd6544fc651088306ae98fd2b3b1df7f339","Success","Transfer*","19269881","2024-02-20 15:44:11","0x82cc99c961ef61eec1709f561cc3c79e0ec8ba1b","vtalik.eth","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0 ETH","$0.00","0.00148028"
"0x97eeae58c92c47a9b0c76ba21ad613cf677b345ff09274dd07276ec535776a47","Success","Transfer*","18782663","2023-12-14 06:41:23","0x75cde0d5083eacd8bdf1b20d95df2688a84e06a4","","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0 ETH","$0.00","0.00135135"
"0xace9fa9e8e73298e96e135823eb0d653d73f010f2b21b8a6af0c95e4fe76855c","Success","Transfer*","18594011","2023-11-17 20:34:35","0x43ec43a2189c526ecdd1bb271c1afd10f3193c3a","","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0 ETH","$0.00","0.00068837"
"0x79e5bd49ff2ecaaaf093d0c2b1e12808033f816d6da32167d92a4e625cab8c48","Success","Transfer*","18588133","2023-11-17 00:50:35","0x0ab20dced7ce488b8029ad38c72d07874ca69351","devildrainer.eth","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0.00001 ETH","$0.02","0.00061315"
"0xc0a29f28b66f56e159064b2877b07e83a8e4c1bc664b9a3086fb059f94fab8b1","Success","Transfer*","18576212","2023-11-15 08:50:35","0x7dfa0e4456cb794d1f46cc8e0e5882dc3ad6d6d3","fbi-crime-complaint-center-ic3-florida.eth","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0 ETH","$0.00","0.00091141"
"0x6f965e675594db4937b6d3f8fd4ad0dd33b6a09ea99409b96943042e9b94ecc5","Success","Transfer","18550573","2023-11-11 18:48:11","0x328a7cc70ac6da1bf9452c9571b5719c2c6b6929","","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0.00012345 ETH","$0.28","0.00067475"
"0x800ec1e3a4cb947973cd119f75ce4da96cbee62f69042ed22d5a6a89ec0dfd9d","Success","Transfer*","18546277","2023-11-11 04:22:23","0x3f5e8255f2d5bbc3deec30642d6bad58549b28ad","","0x0A5984f86200415894821bFEFc1c1De036DbF9e7","Poloniex Hacker 1","0 ETH","$0.00","0.00085851"
"0x379663ed15614f533ec348647dcc804d322328b9f8debb39e9e2619200c5ea5e","Success","Transfer","18542964","2023-11-10 17:14:23","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0x4bE46eBbE246acB1faCa6aDee665279c5bF69D4B","Poloniex Hacker 6","0.5 ETH","$1,127.41","0.00202796"
"0x598ced6bf746fbc85f2882ccb3a85fcf5acf8fc89b3362ddda7ea94a37c1c45e","Success","Transfer","18542964","2023-11-10 17:14:23","0x0a5984f86200415894821bfefc1c1de036dbf9e7","Poloniex Hacker 1","0xDe201dAec04ba73166d9917Fdf08e1728E270F06","Niftymoji: MEXP Token","0 ETH","$0.00","0.00529489"
